"1"  "LMW_1"  "Consumption: millions of US$, s.a."  "Economy"
"2"  "LMW_10"  "Net Factor Payments: last 4 quarters (US$ mill.)"  "Economy"
"3"  "LMW_100"  "Export Prices: index, end of period"  "Economy"
"4"  "LMW_102"  "Domestic Pub.Debt: annual avg. (US$ mill.)"  "Economy"
"5"  "LMW_107"  "Revenues: (US$ mill.), s.a."  "Economy"
"6"  "LMW_109"  "Variation of Intl Reserves: (US$ mill.), last 4 quarters"  "Economy"
"7"  "LMW_11"  "Total External Debt: % of GDP, annual avg."  "Economy"
"8"  "LMW_110"  "Credit to Prvt. Sector: end of period (US$ mill.)"  "Finance"
"9"  "LMW_112"  "Bank Lending: Real rate (%)"  "Finance"
"10"  "LMW_113"  "Stock Market Index: Real Index, annual avg."  "Finance"
"11"  "LMW_114"  "Domestic Absorption: % of GDP"  "Economy"
"12"  "LMW_116"  "Monthly GDP: Real Index"  "Economy"
"13"  "LMW_118"  "WPI: 12-month inflation, %"  "Economy"
"14"  "LMW_121"  "Fiscal Interest Payments: millions of US$"  "Economy"
"15"  "LMW_123"  "Imports of Goods (BOP): (US$ mill.), last 4 quarters"  "Economy"
"16"  "LMW_124"  "Total Exports (BOP): last 4 quarters (US$ mill.)"  "Economy"
"17"  "LMW_126"  "LC Deposits: end of period (US$ mill.)"  "Finance"
"18"  "LMW_127"  "M1: % of CB Reserves, annual avg."  "Finance"
"19"  "LMW_129"  "M3:  annual avg. (US$ mill.)"  "Finance"
"20"  "LMW_13"  "Credit to Pub. Sector: end of period (US$ mill.)"  "Finance"
"21"  "LMW_135"  "CPI: index, end of period"  "Economy"
"22"  "LMW_136"  "Public Debt Dollarization: end of period, in %"  "Economy"
"23"  "LMW_141"  "Fiscal Revenues: millions of US$"  "Economy"
"24"  "LMW_142"  "Current Account Balance: (US$ mill.)"  "Economy"
"25"  "LMW_143"  "Exports of Services (BOP): (US$ mill.)"  "Economy"
"26"  "LMW_144"  "Intl Reserves: % of M2, end of period"  "Finance"
"27"  "LMW_150"  "Gross Fixed Capital Formation: Real Index, s.a."  "Economy"
"28"  "LMW_155"  "CPI: index, annual avg."  "Economy"
"29"  "LMW_156"  "Export Prices: index"  "Economy"
"30"  "LMW_158"  "Real Exch.Rate Multilat. Index annual avg. Y-o-Y growth(%)"  "Finance"
"31"  "LMW_16"  "Total Credit: Real Index, annual avg."  "Finance"
"32"  "LMW_162"  "Intl Reserves: % of GDP, end of period"  "Finance"
"33"  "LMW_163"  "Total Exports (BOP): % of GDP"  "Economy"
"34"  "LMW_164"  "M3:Curr. Prices End of period Y-o-Y growth, 3 month avg.(%)"  "Finance"
"35"  "LMW_165"  "Total Credit: end of period (US$ mill.)"  "Finance"
"36"  "LMW_166"  "Total Deposits: % of GDP, end of period"  "Finance"
"37"  "LMW_168"  "Consumption: real index, year on year growth, %"  "Economy"
"38"  "LMW_169"  "Domestic Absorption: Real Index"  "Economy"
"39"  "LMW_172"  "Industrial Prodn.: Real Index 3-month avg. Y-o-Y growth (%)"  "Economy"
"40"  "LMW_174"  "CPI: annual average inflation (%)"  "Economy"
"41"  "LMW_18"  "Interbank Interest Rate: Nominal, end of period (%)"  "Finance"
"42"  "LMW_182"  "Exports (Trade Balance): last 4 quarters (US$ mill.)"  "Global Integration"
"43"  "LMW_183"  "Imports (Trade Balance): last 4 quarters (US$ mill.)"  "Global Integration"
"44"  "LMW_184"  "Trade Balance: (US$ mill.), last 4 quarters"  "Global Integration"
"45"  "LMW_187"  "M3: % of GDP, end of period"  "Finance"
"46"  "LMW_189"  "Total Credit: annual avg. (US$ mill.)"  "Finance"
"47"  "LMW_190"  "Stock Market Index: Real Index, end of period"  "Finance"
"48"  "LMW_193"  "Tradable GDP: Real Index"  "Economy"
"49"  "LMW_199"  "Exports of Services (BOP): last 4 quarters (US$ mill.)"  "Economy"
"50"  "LMW_200"  "Demand Deposits:end of period (US$ mill.)"  "Finance"
"51"  "LMW_202"  "M1: % of CB Reserves, end of period"  "Finance"
"52"  "LMW_203"  "M1: Curr. Prices, end of period, Y-o-Y growth (%)"  "Finance"
"53"  "LMW_204"  "M1: end of period (US$ mill.)"  "Finance"
"54"  "LMW_205"  "M2: (US$ mill.), end of period"  "Finance"
"55"  "LMW_206"  "Total Credit Dollarization: end of period (%)"  "Finance"
"56"  "LMW_207"  "Interbank Interest Rate: Real, end of period (%)"  "Finance"
"57"  "LMW_214"  "Gross Fixed Capital Formation: Real Index, Y-o-Y growth (%)"  "Economy"
"58"  "LMW_219"  "Nom.Exch.Rate Bilat.: LC/US$ Monthly avg. Y-o-Y growth(%)"  "Finance"
"59"  "LMW_22"  "GDP: Real Index"  "Economy"
"60"  "LMW_220"  "Real Exch.Rate Bilat.vis à vis the Yen: index, monthly avg."  "Finance"
"61"  "LMW_222"  "Primary Fiscal Expenditure: % of GDP"  "Economy"
"62"  "LMW_224"  "Total Pub. Debt: % of GDP, end of period"  "Economy"
"63"  "LMW_225"  "Financial Flows: (US$ mill.)"  "Economy"
"64"  "LMW_226"  "Imports (Trade Balance): % of GDP"  "Global Integration"
"65"  "LMW_228"  "Credit to Pub.Sector Real Index, end of period"  "Finance"
"66"  "LMW_231"  "Bank Lending: Nom. Rate end of period (%)"  "Finance"
"67"  "LMW_232"  "Nom.Exch.Rate Bilat.: LC/US$, end of period"  "Finance"
"68"  "LMW_233"  "Stock Market Index: US$ index, end of period"  "Finance"
"69"  "LMW_238"  "Gross Fixed Capital Formation: (US$ mill.), s.a."  "Economy"
"70"  "LMW_239"  "Gross Fixed Capital Formation: Real Index"  "Economy"
"71"  "LMW_24"  "Nom.Exch.Rate Multilat. Index Annual avg. Y-o-Y growth(%)"  "Finance"
"72"  "LMW_243"  "Non Tradable GDP: % of GDP"  "Economy"
"73"  "LMW_248"  "WPI: monthly inflation, s.a., %"  "Economy"
"74"  "LMW_249"  "Domestic Pub.Debt: % of total debt-end of period"  "Economy"
"75"  "LMW_250"  "External Pub. Debt: % of total debt, end of period"  "Economy"
"76"  "LMW_251"  "External Pub. Debt: annual avg.  (US$ mill.)"  "Economy"
"77"  "LMW_255"  "Exports (Trade Balance) (US$ mill.)"  "Global Integration"
"78"  "LMW_256"  "Exports of Services (BOP): % of GDP"  "Economy"
"79"  "LMW_257"  "Intl Reserves: end of period (US$ mill.)"  "Finance"
"80"  "LMW_258"  "Total External Debt: % of GDP, end of period"  "Economy"
"81"  "LMW_26"  "External Pub. Debt: % of GDP, annual avg."  "Economy"
"82"  "LMW_261"  "Deposit Dollarization: annual avg. (%)"  "Finance"
"83"  "LMW_262"  "M2: Curr. Prices, end of period, Y-o-Y  growth (%)"  "Finance"
"84"  "LMW_264"  "Monetary Base: annual avg. (US$ mill.)"  "Finance"
"85"  "LMW_266"  "Bank Deposit: Nom. Rate annual avg. (%)"  "Finance"
"86"  "LMW_267"  "Bank Deposit: Nom. Rate end pf period (%)"  "Finance"
"87"  "LMW_269"  "Change in Pvt.Inventories: contrib. to GDP growth (%)"  "Economy"
"88"  "LMW_270"  "Consumption (U$S mill.)"  "Economy"
"89"  "LMW_271"  "Consumption: real index, s.a."  "Economy"
"90"  "LMW_273"  "Exports s.a. (US$ mill.)"  "Economy"
"91"  "LMW_279"  "Unemployment: rate, %"  "Social Outlook"
"92"  "LMW_286"  "Intl Reserves: annual avg. (US$ mill.)"  "Finance"
"93"  "LMW_287"  "Total External Debt: annual avg. (US$ mill.)"  "Economy"
"94"  "LMW_288"  "Variation of Intl Reserves: (US$ mill.)"  "Economy"
"95"  "LMW_290"  "Deposit Dollarization: end of period (%)"  "Finance"
"96"  "LMW_292"  "M3: % of GDP, annual avg."  "Finance"
"97"  "LMW_293"  "Monetary Base: end of period (US$ mill.)"  "Finance"
"98"  "LMW_295"  "Stock Market Index: US$ Index, monthly avg. Y-o-Y growth(%)"  "Finance"
"99"  "LMW_297"  "Exports: Real Index"  "Economy"
"100"  "LMW_298"  "Gross Fixed Capital Formation: % of GDP"  "Economy"
"101"  "LMW_299"  "Imports: (US$ mill.), s.a."  "Economy"
"102"  "LMW_302"  "Unemployment: rate, s.a., %"  "Social Outlook"
"103"  "LMW_303"  "WPI: index"  "Economy"
"104"  "LMW_304"  "External Pub. Debt: end of period (US$ mill.)"  "Economy"
"105"  "LMW_309"  "Capital Account Balance (US$ mill,)"  "Economy"
"106"  "LMW_31"  "Credit to Pub.Sector: Real Index, annual avg."  "Finance"
"107"  "LMW_311"  "Exports (Trade Balance): % of GDP"  "Global Integration"
"108"  "LMW_312"  "Imports of Services (BOP): (US$ mill.)"  "Economy"
"109"  "LMW_313"  "Total Imports (BOP):  last 4 quarters"  "Economy"
"110"  "LMW_314"  "Demand Deposits:annual avg. (US$ mill.)"  "Finance"
"111"  "LMW_315"  "M2: % of GDP, annual avg."  "Finance"
"112"  "LMW_316"  "M2:Curr.Prices End of period Y-o-Y growth 3 month avg.(%)"  "Finance"
"113"  "LMW_317"  "Total Deposits: end of period (US$ mill.)"  "Finance"
"114"  "LMW_318"  "Bank Deposit: Real rate annual avg.(%)"  "Finance"
"115"  "LMW_319"  "Bank Deposit: Real rate (%)"  "Finance"
"116"  "LMW_32"  "M2: % of GDP, end of period"  "Finance"
"117"  "LMW_321"  "Nom.Exch.Rate Bilat.:annual avg. (LC/US$) "  "Finance"
"118"  "LMW_324"  "Imports: Real Index, s.a."  "Economy"
"119"  "LMW_326"  "Monthly GDP: Real Index, s.a."  "Economy"
"120"  "LMW_327"  "Net Exports: Real Index, s.a."  "Economy"
"121"  "LMW_329"  "Real Exch.Rate Bilat. vis à vis the Yen: index, annual avg."  "Finance"
"122"  "LMW_330"  "WPI: index, annual avg."  "Economy"
"123"  "LMW_332"  "Primary Fiscal Balance: millions of US$"  "Economy"
"124"  "LMW_333"  "Primary Fiscal Expenditure: millions of US$"  "Economy"
"125"  "LMW_336"  "Capital Account Balance: last 4 quarters (US$ mill.)"  "Economy"
"126"  "LMW_337"  "Capital Flows: last 4 quarters (US$ mill.)"  "Economy"
"127"  "LMW_338"  "Financial Flows: % of GDP"  "Economy"
"128"  "LMW_339"  "Imports (Trade Balance): (US$ mill.)"  "Global Integration"
"129"  "LMW_34"  "Total Deposits: annual avg. (US$ mill.)"  "Finance"
"130"  "LMW_340"  "Net Factor Payments: % of GDP"  "Economy"
"131"  "LMW_343"  "M3: % of CB Reserves, end of period"  "Finance"
"132"  "LMW_344"  "Saving Deposits: end of period (US$ mill.)"  "Finance"
"133"  "LMW_345"  "Total Credit: % of GDP, end of period"  "Finance"
"134"  "LMW_347"  "Stock Market Index: US$ index, monthly avg."  "Finance"
"135"  "LMW_35"  "CB Reference: Nom. Rate end of period (%)"  "Finance"
"136"  "LMW_351"  "Exports: Real Index, s.a."  "Economy"
"137"  "LMW_354"  "Tradable GDP: Real Index, s.a."  "Economy"
"138"  "LMW_355"  "Nom.Exch.Rate Multilat.: monthly avg., Y-o-Y growth (%)"  "Finance"
"139"  "LMW_356"  "Real Exch.Rate Multilat.: index, end of period"  "Finance"
"140"  "LMW_357"  "WPI: index, end of period"  "Economy"
"141"  "LMW_359"  "Fiscal Revenues: % of GDP"  "Economy"
"142"  "LMW_36"  "Interbank Interest Rate: Nominal, annual avg. (%)"  "Finance"
"143"  "LMW_362"  "Imports of Goods (BOP): (US$ mill.)"  "Economy"
"144"  "LMW_363"  "International Reserves: % of GDP, annual avg."  "Finance"
"145"  "LMW_364"  "Intl Reserves: end of period (number of months of Imports)"  "Finance"
"146"  "LMW_365"  "Total External Debt: end of period  (US$ mill.)"  "Economy"
"147"  "LMW_367"  "FC Deposits: end of period (US$ mill.)"  "Finance"
"148"  "LMW_368"  "M1:Curr.Prices End of period  Y-o-Y growth, 3 month avg.(%)"  "Finance"
"149"  "LMW_369"  "M3: Curr. Prices, end of period, Y-o-Y growth (%)"  "Finance"
"150"  "LMW_37"  "Stock Market Index: local currency index, end of period"  "Finance"
"151"  "LMW_372"  "Interbank Interest Rate: Real, monthly avg. (%)"  "Finance"
"152"  "LMW_373"  "Stock Market Index: local currency index, annual avg."  "Finance"
"153"  "LMW_374"  "Stock Market Index: local currency index, monthly avg."  "Finance"
"154"  "LMW_375"  "Consumption: real index"  "Economy"
"155"  "LMW_376"  "Exports: contribution to GDP growth (%)"  "Economy"
"156"  "LMW_377"  "Exports: (US$ mill.)"  "Economy"
"157"  "LMW_38"  "Stock Market Index: Real Index, monthly avg."  "Finance"
"158"  "LMW_381"  "Imports: contrib.to GDP growth, %"  "Economy"
"159"  "LMW_384"  "Industrial Production: Real Index, Y-o-Y growth (%)"  "Economy"
"160"  "LMW_385"  "Terms of Trade: index"  "Economy"
"161"  "LMW_386"  "Fiscal Interest Payments: % of GDP"  "Economy"
"162"  "LMW_390"  "Capital Account Balance: % of GDP"  "Economy"
"163"  "LMW_391"  "Net Unilateral Curr. Transfers: (US$ mill.), last 4 quarters"  "Economy"
"164"  "LMW_392"  "Credit to Private Sector: % of GDP, end of period"  "Finance"
"165"  "LMW_393"  "M2: % of CB Reserves, annual avg."  "Finance"
"166"  "LMW_394"  "M2: (US$ mill.), annual avg."  "Finance"
"167"  "LMW_395"  "Monetary Base: % of GDP, end of period"  "Finance"
"168"  "LMW_397"  "Total Credit Dollarization: annual avg. (%)"  "Finance"
"169"  "LMW_400"  "Bank Deposit:  Real rate end of period (%)"  "Finance"
"170"  "LMW_403"  "GDP: (US$ mill.)"  "Economy"
"171"  "LMW_406"  "CPI: index"  "Economy"
"172"  "LMW_409"  "Nom.Exch.Rate Bilat.: LC/US$, annual avg., Y-o-Y growth (%)"  "Finance"
"173"  "LMW_410"  "Interest Payments: last 4 quarters (US$ mill.)"  "Economy"
"174"  "LMW_411"  "Overall Fiscal Balance: last 4 quarters (US$ mill.)"  "Economy"
"175"  "LMW_414"  "Total Pub. Debt: (US$ mill.), annual avg."  "Economy"
"176"  "LMW_415"  "Total Pub. Debt: (US$ mill.), end of period"  "Economy"
"177"  "LMW_416"  "Capital Flows (US$ mill.)"  "Economy"
"178"  "LMW_417"  "Exports of Goods (BOP): last 4 quarters (US$ mill.)"  "Economy"
"179"  "LMW_419"  "Foreign Direct Investment: (US$ mill.)"  "Economy"
"180"  "LMW_42"  "Domestic Absorption:Real Index-Y-o-Y growth (%)"  "Economy"
"181"  "LMW_420"  "Imports of Services (BOP): % of GDP"  "Economy"
"182"  "LMW_421"  "Intl Reserves: ratio to Short Term Ext. Debt, end of period"  "Finance"
"183"  "LMW_424"  "M1: annual avg.(US$ mill.) "  "Finance"
"184"  "LMW_426"  "Total Credit: Real Index, end of period"  "Finance"
"185"  "LMW_427"  "Stock Market Index: US$ index, annual avg., Y-o-Ygrowth, %"  "Finance"
"186"  "LMW_43"  "GDP: Real Index, last 4 quarters"  "Economy"
"187"  "LMW_430"  "GDP: s.a. (US$ mill.)"  "Economy"
"188"  "LMW_433"  "Gross Fixed Capital Formation: contrib. to GDP growth (%)"  "Economy"
"189"  "LMW_434"  "Industrial Production: Real Index"  "Economy"
"190"  "LMW_435"  "Non Tradable GDP: Real Index"  "Economy"
"191"  "LMW_437"  "Import Prices: Index"  "Economy"
"192"  "LMW_439"  "WPI: monthly inflation, %"  "Economy"
"193"  "LMW_440"  "Overall Fiscal Balance: % of GDP"  "Economy"
"194"  "LMW_443"  "Exports of Goods (BOP): % of GDP"  "Economy"
