date,A,B,C,D
Jan-05,125.7,,165.7,127
Feb-05,,,313.8,76.9
Mar-05,,,278,69.1
Apr-05,48.8,,146.6,29.6
May-05,4.3,,26.2,0
Jun-05,0,0,2,0
Jul-05,,,,1.5
Aug-05,,,14,3.7
Sep-05,,11.7,65.4,4.1
Oct-05,,,188.2,18
Nov-05,82.2,51.1,137.5,50.5
Dec-05,,,313.5,58.6
Jan-06,,,335.6,170.7
Feb-06,133.7,92.8,215,82.2
Mar-06,,,381.2,125
Apr-06,,,211.6,34.5
May-06,0,0,35,0
Jun-06,,,105,30
Jul-06,0,0,36.5,0
Aug-06,,,48.7,14.3
Sep-06,,,44.1,5.2
Oct-06,,50.1,157.2,42.7
Nov-06,,,204.3,69.7
Dec-06,,,260.3,117.1
Jan-07,,,365.5,102.7
Feb-07,,79,272.7,55.8
Mar-07,,,494.9,135.8
Apr-07,,,219.8,42.1
May-07,,4.6,87.7,7.6
Jun-07,0,0,10.3,0
Jul-07,,,62.5,1.7
Aug-07,0,0.1,28.5,0
Sep-07,2.9,,68.6,4.9
Oct-07,51.2,,158.3,32.7
Nov-07,,,146.6,66.9
Dec-07,,74.1,238.6,83.3
Jan-08,,,397.3,154.3
Feb-08,,,224.5,151.5
Mar-08,,,232.5,61.5
Apr-08,,,97.4,8.5
May-08,20,7.1,75.9,5.9
Jun-08,7.7,2.8,19.7,3.6
Jul-08,0,,15.2,0.7
Aug-08,,3.1,87.6,3.2
Sep-08,,3.9,22.1,9.8
Oct-08,,,189.7,46.8
Nov-08,,,158.8,64.1
Dec-08,,,209.8,133.9
Jan-09,,152,391.5,89.9
Feb-09,125.5,,332.6,89.4
Mar-09,,,334.5,66.2
Apr-09,76.8,,234.9,14.1
May-09,,6.3,45.3,0.2
Jun-09,0,,14.1,0
Jul-09,,,54.3,3.1
Aug-09,0,,27.8,0.8
Sep-09,,,41.7,
Oct-09,,,83.5,
Nov-09,,,258.8,118.1
Dec-09,,,276.5,115.3
Jan-10,,,100
Feb-10,,,328.1,145.1
Mar-10,,,502.5,155.8
Apr-10,,,210.4,6
May-10,,,44.2,6.5
Jun-10,,,37.3,1.1
Jul-10,0,,19.1,1.4
Aug-10,,,46.5,11.4
Sep-10,,,42.8,1.8
Oct-10,,,229.2,72.7
Nov-10,,,118.1,26.3
Dec-10,,,328.2,204.2
Jan-11,,,452.3,100.7
Feb-11,,,365,170.6
Mar-11,,,434.2,109.2
Apr-11,,,252.4,32.9
May-11,,,55.8,6.8
Jun-11,,17.9,68.3,7
Jul-11,8.3,,83.5,8.6
Aug-11,,21,
Sep-11,,28.2,106.2,27.9
Oct-11,,,170,26.2
Nov-11,,,263.2,48
Dec-11,,,352.7,139.5
Jan-12,,,332.4,67
Feb-12,,,407.5,157
Mar-12,,,390.2,54.2
Apr-12,,,204.5,30.1
May-12,,0.3,84.8,5.5
Jun-12,13.1,,43.6,0
Jul-12,0,,68,0.8
Aug-12,0,0.3,29.3,0.5
Sep-12,28,,82.3,24.1
Oct-12,,,175.1,8.6
Nov-12,107.5,66.5,108.3,127
Dec-12,,,517.2,146.8
Jan-13,158.6,,221.1,104.8
Feb-13,146.2,,379.5,153.5
Mar-13,,,367.9,68.1
Apr-13,42.4,,72.1,23.3
May-13,,,63.6,10.7
Jun-13,,,83.2,5.4
Jul-13,,,35.8,4.1
Aug-13,15.5,20.6,103.1,15.8
Sep-13,18.9,3.2,56.1,5.6
Oct-13,72.1,71.8,199.9,132
Nov-13,75.3,,,
Dec-13,135.3,,,
Jan-14,84.7,,,
Feb-14,91.1,,,
Mar-14,118.3,52.4,232.7,68.7
Apr-14,19.9,32.5,149.4,50
May-14,12.5,10.2,106.2,12.8
Jun-14,0,0,14.1,0
Jul-14,5.4,,51,1.3
Aug-14,8.6,,53.4,1.5
Sep-14,15.7,,108.8,22.9
Oct-14,30.3,56.7,185.9,
Nov-14,29.2,,117.2,12.5
Dec-14,,99.6,218.1,105.8
