date,A,B,C,D
1-Jan-05,3.6,1.4,7.5,0
2-Jan-05,4.4,14.5,5.8,11.9
3-Jan-05,2,2.9,11.5,5.8
4-Jan-05,1.8,0.2,4.3,0.4
5-Jan-05,0,0,0,0
6-Jan-05,0,0,1.7,0
7-Jan-05,6.3,0,1.9,0
8-Jan-05,5.5,1.3,2.4,23
9-Jan-05,15.4,1.9,10.9,15.7
10-Jan-05,1,0.8,6.7,4.7
11-Jan-05,0,0.3,30.1,1.2
12-Jan-05,11.2,0,3,6.5
13-Jan-05,13.6,6.6,0,7.3
14-Jan-05,3.3,2.7,3.5,0.3
15-Jan-05,0,,1.5,0
16-Jan-05,8.9,0,0.5,0
17-Jan-05,7.2,7.2,8.9,16.1
18-Jan-05,11,0,2.9,0
19-Jan-05,0,0,0,1.9
20-Jan-05,0,0.2,2,0
21-Jan-05,0,0,0,0
22-Jan-05,0,0,1.3,0
23-Jan-05,7.5,0,9.9,1.8
24-Jan-05,0,1.7,6.4,0
25-Jan-05,5.1,,0,4.1
26-Jan-05,4.7,4.1,4.2,7.5
27-Jan-05,3.3,0,1.2,0
28-Jan-05,9.9,1.2,4.4,1.2
29-Jan-05,0,0.5,3.5,16.2
30-Jan-05,0,0.1,3.2,1.4
31-Jan-05,0,0,26.5,0
1-Feb-05,9.6,4.1,42.9,5.6
2-Feb-05,1.5,0.5,33.8,0
3-Feb-05,,0,6.4,0
4-Feb-05,0,0,16.2,0
5-Feb-05,0,0,18.1,0
6-Feb-05,5.3,0,9.6,0
7-Feb-05,8.1,2.3,2.2,6.9
8-Feb-05,5.5,2.3,44.4,3.1
9-Feb-05,3.8,15.2,13.7,1.4
10-Feb-05,12.7,5.1,3.5,2.2
11-Feb-05,28.8,19.5,33.3,5.8
12-Feb-05,14.5,5.4,1.5,11
13-Feb-05,12.5,10.4,22.8,9
14-Feb-05,3.2,7.3,0.5,3.8
15-Feb-05,1.5,7.8,4.6,1.5
16-Feb-05,7,2.5,2,0.5
17-Feb-05,1.7,,6.6,0
18-Feb-05,0,0,0.4,0
19-Feb-05,2.4,0.2,10.3,0.7
20-Feb-05,9.3,3.8,17.8,2.7
21-Feb-05,3.9,1.7,4,2.4
22-Feb-05,11.8,4.9,11,8.7
23-Feb-05,0,0.1,4.2,0.5
24-Feb-05,3.2,1.2,1.1,0
25-Feb-05,0,0,1.3,0
26-Feb-05,2.1,0,0.7,4.3
27-Feb-05,0,2.7,0,5.7
28-Feb-05,0,0,0.9,1.1
1-Mar-05,1.5,0.8,4.7,5.3
2-Mar-05,2.6,0,17.8,0
3-Mar-05,13.3,1.1,19.2,0.9
4-Mar-05,0,12.6,18.2,3
5-Mar-05,0,0,0,0
6-Mar-05,0,0,0.7,1.5
7-Mar-05,0,0.3,0,2.3
8-Mar-05,3.6,1.8,0,0
9-Mar-05,0,1.8,18.6,0
10-Mar-05,3.3,2.8,33.4,0.7
11-Mar-05,14.7,12.8,14.6,18
12-Mar-05,9.2,1.6,8.7,5.9
13-Mar-05,0,,16.7,1.8
14-Mar-05,,3.6,9.3,1.2
15-Mar-05,0,0,5.5,0
16-Mar-05,3.3,0,0,0
17-Mar-05,0,7,2.5,12
18-Mar-05,0,3.8,10.5,2
19-Mar-05,,0.6,10.9,1.1
20-Mar-05,1.2,0,14.9,0
21-Mar-05,0,0,1.7,0
22-Mar-05,2.7,,14.7,2.9
23-Mar-05,,2.4,12.8,0.5
24-Mar-05,3.1,0.4,6.8,0
25-Mar-05,0,0,10.9,0
26-Mar-05,0,0,4.3,0
27-Mar-05,0,0,1.3,0
28-Mar-05,18.2,0,0.8,0
29-Mar-05,1.6,3.5,3.5,2.3
30-Mar-05,3.9,5,8.8,7.7
31-Mar-05,13.2,0.8,6.2,0
1-Apr-05,21.8,0.1,0.6,2.8
