Dates,Tmin,Tmax,Q
1-Jan-17,2.0,17.1,1.118
2-Jan-17,1.9,15.6,1.084
3-Jan-17,2.7,15.2,1.097
4-Jan-17,3.2,15.2,1.226
5-Jan-17,3.4,13.6,1.206
6-Jan-17,2.7,13.4,1.335
7-Jan-17,4.0,14.0,1.361
8-Jan-17,2.9,12.4,1.533
9-Jan-17,2.8,13.0,1.384
10-Jan-17,3.0,14.7,1.262
11-Jan-17,2.3,16.3,1.169
12-Jan-17,1.5,14.8,1.119
13-Jan-17,1.9,13.5,1.098
14-Jan-17,3.0,13.5,1.346
15-Jan-17,3.5,13.7,1.271
16-Jan-17,1.2,16.1,1.171
17-Jan-17,1.9,15.2,1.16
18-Jan-17,2.9,12.5,1.118
19-Jan-17,2.8,13.0,1.09
20-Jan-17,2.1,13.2,1.078
21-Jan-17,2.9,10.3,1.055
22-Jan-17,1.4,10.9,1.098
23-Jan-17,2.0,11.5,1.101
24-Jan-17,1.2,12.5,1.166
25-Jan-17,2.0,12.9,1.284
26-Jan-17,3.0,14.2,1.249
27-Jan-17,3.5,13.1,1.255
28-Jan-17,2.9,12.2,1.138
29-Jan-17,3.1,12.1,1.11
30-Jan-17,2.6,14.6,1.106
31-Jan-17,3.2,13.1,1.115
