Date	A	B
Jan-06	177.8	257.8
Feb-06	14.6	84.6
Mar-06	191.8	261.8
Apr-06	43	113
May-06	3.8	73.8
Jun-06	15.8	85.8
Jul-06	8.8	78.8
Aug-06	17.3	87.3
Sep-06	60.1	55.1
Oct-06	118.2	123.2
Nov-06	97.6	102.6
Dec-06	136.2	186.2
Jan-07	97.6	162.6
Feb-07	136.2	206.2
Mar-07	296.7	366.7
Apr-07	186.5	256.5
May-07	25.2	95.2
Jun-07	7.6	77.6
Jul-07	11.9	81.9
Aug-07	107	177
Sep-07	132.7	127.7
Oct-07	251	256
Nov-07	129.4	134.4
Dec-07	42	143.2
Jan-08	129.4	209.4
Feb-08	93.2	163.2
Mar-08	232.5	302.5
Apr-08	34.8	104.8
May-08	15.1	85.1
Jun-08	9.5	79.5
Jul-08	7	77
Aug-08	66.8	136.8
Sep-08	172.6	167.6
Oct-08	67.5	72.5
Nov-08	129.7	134.7
Dec-08	164.9	214.9
Jan-09		209.7
Feb-09	164.9	234.9
Mar-09	155.5	225.5
Apr-09	209.3	279.3
May-09	27.2	97.2
Jun-09	49.1	119.1
Jul-09	47.9	117.9
Aug-09	222	292
Sep-09	86.1	81.1
Oct-09	127.5	132.5
Nov-09	58	63
Dec-09	137.9	187.9
Jan-10	58	89
Feb-10	137.9	207.9
Mar-10	218.1	288.1
Apr-10	10.3	80.3
May-10	59.8	129.8
Jun-10	0	70
Jul-10	5	75
Aug-10	54.7	124.7
Sep-10	26	21
Oct-10	51	56
Nov-10	158.7	163.7
Dec-10		173.8
Jan-11	158.7	238.7
Feb-11	103.8	173.8
Mar-11	139	209
Apr-11	24.9	94.9
May-11	12.2	82.2
Jun-11	3.6	73.6
Jul-11	5.8	75.8
Aug-11	14.9	84.9
Sep-11	109.1	104.1
Oct-11	76.1	81.1
Nov-11	159	164
Dec-11	174.6	244.6
Jan-12	159	239
Feb-12	174.6	244.6
Mar-12	241.2	311.2
Apr-12	37.3	107.3
May-12	13.4	83.4
Jun-12	4.8	74.8
Jul-12	0.4	70.4
Aug-12	5.3	75.3
Sep-12	22.8	17.8
Oct-12	179.2	184.2
Nov-12	240.2	245.2
Dec-12	32.3	82.3
Jan-13	240.2	360.2
Feb-13	32.3	102.3
Mar-13	354.2	424.2
Apr-13	172.6	242.6
May-13	91.3	161.3
Jun-13	61.2	131.2
Jul-13	42.6	112.6
Aug-13	35.7	105.7
Sep-13	106.8	101.8
Oct-13	183.1	188.1
Nov-13	126.4	131.4
Dec-13	127.4	
Jan-14	126.4	171.4
Feb-14	127.4	197.4
Mar-14	511.8	581.8
Apr-14	223.8	293.8
May-14	181.3	251.3
Jun-14	7.7	77.7
Jul-14	44.8	114.8
Aug-14	239.8	309.8
Sep-14	308.4	303.4
Oct-14	187.8	192.8
Nov-14	207.1	212.1
Dec-14	551.3	561.3
Jan-15	207.1	209.1
Feb-15	551.3	621.3
Mar-15	185.1	255.1
Apr-15	118.1	188.1
May-15	84.9	154.9
Jun-15	49.8	119.8
Jul-15	11.6	81.6
Aug-15	38.8	108.8
Sep-15	147.1	142.1
Oct-15	214.8	219.8
Nov-15	264	269
Dec-15		496.7
Jan-16	264	281
Feb-16	446.7	516.7
Mar-16	439	509
Apr-16	89.4	159.4
May-16	31.7	101.7
Jun-16	31.7	101.7
Jul-16	18.9	88.9
Aug-16	381.3	451.3
Sep-16	47.7	42.7
Oct-16	111.9	116.9
Nov-16	290.5	295.5
Dec-16	457.4	507.4
Jan-17	290.5	370.5
Feb-17	457.4	527.4
Mar-17	280.9	350.9
Apr-17	199	269
May-17	161.2	231.2
Jun-17	24.8	94.8
Jul-17	12.3	82.3
Aug-17	36.8	106.8
Sep-17	123.1	118.1
Oct-17	248.4	253.4
Nov-17	157.5	162.5
Dec-17	254.5	271.5
Jan-18		
Feb-18	254.5	324.5
Mar-18	196.3	266.3
Apr-18	145.6	215.6
May-18	103.1	173.1
Jun-18	28	98
Jul-18	29.1	99.1
Aug-18	31.7	101.7
Sep-18	158.4	153.4
Oct-18	107.4	112.4
Nov-18	189.2	194.2
Dec-18	167.5	217.5
Jan-19	189.2	269.2
Feb-19	167.5	237.5
Mar-19	412.4	482.4
Apr-19	110.6	180.6
May-19	177.4	247.4
Jun-19	88.6	158.6
Jul-19	32.2	102.2
Aug-19	43.3	113.3
Sep-19	80	117.1
Oct-19	85	194.8
Nov-19	101	244
Dec-19	200	471.7
