Year,Month,Index
1950,3,-1.35
1950,4,-1.26
1950,5,-1.36
1950,6,-1.26
1950,7,-0.97
1950,8,-0.66
1950,9,-0.36
1950,10,-0.6
1950,11,-0.54
1950,12,-0.38
1951,1,-0.13
1951,2,-0.11
1951,3,-0.07
1951,4,0.28
1951,5,1.06
1951,6,1.75
1951,7,2.11
1951,8,1.78
1951,9,1.39
1951,10,1.21
1951,11,1.04
1951,12,0.77
1952,1,0.47
1952,2,0.29
1952,3,-0.07
1952,4,-0.34
1952,5,-0.57
1952,6,-0.55
1952,7,-0.58
1952,8,-0.67
1952,9,-0.51
1952,10,-0.42
1952,11,-0.1
1952,12,-0.08
1953,1,0.17
1953,2,0.57
1953,3,1.26
1953,4,1.6
1953,5,1.44
1953,6,0.96
1953,7,0.71
1953,8,0.77
1953,9,0.72
1953,10,0.62
1953,11,0.29
1953,12,-0.29
1954,1,-0.66
1954,2,-0.86
1954,3,-1.2
1954,4,-1.78
1954,5,-2.21
1954,6,-2.15
1954,7,-1.74
1954,8,-1.46
1954,9,-1.19
1954,10,-1.12
1954,11,-1.01
1954,12,-0.63
1955,1,-0.56
1955,2,-0.54
1955,3,-0.58
1955,4,-0.85
1955,5,-1.01
1955,6,-1.13
1955,7,-0.98
1955,8,-0.86
1955,9,-0.94
1955,10,-1.01
1955,11,-1.11
1955,12,-1.08
1956,1,-0.98
1956,2,-0.66
1956,3,-0.49
1956,4,-0.38
1956,5,-0.38
1956,6,-0.01
1956,7,0.22
1956,8,0.17
1956,9,-0.22
1956,10,-0.46
1956,11,-0.61
1956,12,-0.84
1957,1,-0.52
1957,2,0.14
1957,3,1.07
1957,4,1.85
1957,5,2.31
1957,6,2.61
1957,7,2.24
1957,8,1.91
1957,9,1.53
1957,10,1.35
1957,11,1.23
1957,12,0.99
1958,1,0.82
1958,2,0.77
1958,3,1.01
1958,4,1.04
1958,5,0.86
1958,6,0.6
1958,7,0.37
1958,8,0.23
1958,9,0.14
1958,10,0.17
1958,11,0.13
1958,12,-0.13
1959,1,-0.2
1959,2,0.09
1959,3,0.44
1959,4,0.5
1959,5,0.19
1959,6,-0.02
1959,7,-0.24
1959,8,-0.29
1959,9,-0.25
